Fitness ; Time Finish ; Total Salary ; Total Exper 
0.6679647012212788;1032;80595 ;6401
0.6613254459660003;1009;82250 ;6366
0.48277791261010133;660;79640 ;6344
0.4764552776283836;660;80400 ;6391
0.4764552776283836;660;80400 ;6391
0.4744313991474714;662;78760 ;6410
0.4744313991474714;662;78760 ;6410
0.4704560978403745;648;80720 ;6390
0.4684079964628627;656;78225 ;6430
0.4684079964628627;656;78225 ;6430
0.4621704541605696;651;78610 ;6457
0.4621704541605696;651;78610 ;6457
0.4621704541605696;651;78610 ;6457
0.46129416432759557;642;79315 ;6431
0.45732836114870234;628;75960 ;6401
0.45722129673315304;640;77770 ;6450
0.45361450564969014;633;77855 ;6450
0.4519636893316567;629;75740 ;6443
0.4507709356306173;629;76490 ;6453
0.4492686915892891;627;76835 ;6457
0.4492686915892891;627;76835 ;6457
0.44779980290750265;627;77590 ;6469
0.4458820870835596;638;76020 ;6521
0.43869000797560165;620;74640 ;6503
0.43869000797560165;620;74640 ;6503
0.43869000797560165;620;74640 ;6503
0.4385645934201394;618;74410 ;6496
0.4323849098252206;601;72260 ;6473
0.4323849098252206;601;72260 ;6473
0.4323849098252206;601;72260 ;6473
0.4323849098252206;601;72260 ;6473
0.43141107150276775;610;73515 ;6516
0.4310670328065381;613;73680 ;6530
0.4310670328065381;613;73680 ;6530
0.43059942945432605;611;72665 ;6524
0.42695667319686575;594;72275 ;6486
0.42565694029430556;606;73765 ;6543
0.42436917672677604;601;72910 ;6532
0.4219503743700364;607;73520 ;6573
0.4219503743700364;607;73520 ;6573
0.4214073468946606;606;73425 ;6573
0.41997697980772697;601;72555 ;6563
0.41668817943356184;592;71980 ;6552
0.41668817943356184;592;71980 ;6552
0.4151035199434265;594;73640 ;6574
0.4139711921572028;590;72455 ;6565
0.4139711921572028;590;72455 ;6565
0.4127288918918744;592;72760 ;6582
0.4112039766043266;594;73045 ;6601
0.4112039766043266;594;73045 ;6601
0.4065902474809547;593;72765 ;6630
0.4065902474809547;593;72765 ;6630
0.40542700372158785;595;73375 ;6647
0.40542700372158785;595;73375 ;6647
0.40309470007574344;588;71955 ;6635
0.40309470007574344;588;71955 ;6635
0.40309470007574344;588;71955 ;6635
0.40309470007574344;588;71955 ;6635
0.4011188165087403;589;71965 ;6653
0.4010727745062063;593;72350 ;6669
0.3993487000114554;592;72515 ;6678
0.39872336711044837;587;72075 ;6663
0.3982738226603302;585;72200 ;6659
0.3959061185182597;588;72050 ;6687
0.39488452312611655;588;72390 ;6695
0.39488452312611655;588;72390 ;6695
0.393197613813043;574;71405 ;6653
0.3919097580202041;585;72265 ;6705
0.38805507069851986;572;71620 ;6683
0.3880066497144683;575;71320 ;6694
0.3855583622252037;571;71480 ;6697
0.3846725920618925;573;71555 ;6711
0.3846725920618925;573;71555 ;6711
0.3838928211387744;569;71195 ;6701
0.38367517695933473;568;71285 ;6699
0.3818182279063216;571;71500 ;6724
0.3818182279063216;571;71500 ;6724
0.3806352705825857;567;71190 ;6717
0.3806352705825857;567;71190 ;6717
0.3806352705825857;567;71190 ;6717
0.37882130283836063;569;70895 ;6737
0.37880847057645883;568;71240 ;6734
0.37880847057645883;568;71240 ;6734
0.37880847057645883;568;71240 ;6734
0.37880847057645883;568;71240 ;6734
0.3770049987196323;569;71380 ;6751
0.3770049987196323;569;71380 ;6751
0.3770049987196323;569;71380 ;6751
0.3768896113744116;569;71470 ;6752
0.37621179903641266;568;70855 ;6752
0.37559615248953326;567;71015 ;6753
0.3752770788070122;568;70995 ;6759
0.3752770788070122;568;70995 ;6759
0.3752770788070122;568;70995 ;6759
0.37409231419081085;567;71100 ;6764
0.3740130872567921;568;70935 ;6768
0.37294677067955706;564;71075 ;6761
0.37294677067955706;564;71075 ;6761
0.37294677067955706;564;71075 ;6761
0.3718976608641307;566;71055 ;6776
0.3718976608641307;566;71055 ;6776
0.371668352610041;565;71100 ;6774
0.3715815200543126;565;70765 ;6774
0.3715815200543126;565;70765 ;6774
0.3702112132169331;565;70830 ;6784
0.3702112132169331;565;70830 ;6784
0.3699491638993681;566;71030 ;6790
0.3699491638993681;566;71030 ;6790
0.3694863611172055;566;70850 ;6793
0.3694863611172055;566;70850 ;6793
0.36939965638252;565;70910 ;6790
0.36897962187407435;565;70895 ;6793
0.36844938405358607;565;70990 ;6797
0.36844938405358607;565;70990 ;6797
